Index,LCSC#,Manufacturer Product Name,Manufacturer,Package,Design Refrence,Quantity,Product Link
1,C207022,0805L050WR,Littelfuse,805,"F1,F2,F3,F4",4,https://www.lcsc.com/product-detail/C207022.html
2,C668591,10.0 QHHTZB6.3,SHOU HAN,SMD,"USB1,USB2",2,https://www.lcsc.com/product-detail/C668591.html
3,C1591,CL10B104KB8NNNC,Samsung Electro-Mechanics,603,"C1,C11,C12,C13,C14,C15,C16,C17,C2,C3,C4,C5,C6,C7,C8",15,https://www.lcsc.com/product-detail/C1591.html
4,C2906982,FRC0603F1002TS,FOJAN,603,"R1,R10,R2,R3,R4,R5,R6,R7,R8,R9",10,https://www.lcsc.com/product-detail/C2906982.html
5,C2907035,FRC0603F4R70TS,FOJAN,603,R11,1,https://www.lcsc.com/product-detail/C2907035.html
6,C2684433,SL2.1s,CoreChips,SSOP-16,U1,1,https://www.lcsc.com/product-detail/C2684433.html
7,C2765186,TYPE-C 16PIN 2MD(073),SHOU HAN,SMD,"USB0,USB3,USB4",1,https://www.lcsc.com/product-detail/C2765186.html
8,C7519,USBLC6-2SC6,ST,SOT-23-6L,"D0,D1,D2,D3,D4",3,https://www.lcsc.com/product-detail/C7519.html
9,C965799,XL-1608SURC-06,XINGLIGHT,603,"LED1,LED2,LED3,LED4",5,https://www.lcsc.com/product-detail/C965799.html
10,C22367835,HGC1206R5476M250NSPJ,Chinocera,1206,C9,4,https://www.lcsc.com/product-detail/C22367835.html
