Comment,Designator,Footprint,LCSC,Quantity
0805L050WR,"F1,F2,F3,F4",R0805,C965799,4
10.0 QHHTZB6.3,"USB1,USB2",USB-A-TH_10.0QHHTZB6.3,C668591,2
100nF,"C1,C11,C12,C13,C14,C15,C16,C17,C2,C3,C4,C5,C6,C7,C8",C0603,C1591,15
10K,"R1,R10,R2,R3,R4,R5,R6,R7,R8,R9",R0603,C2906982,10
4.7Ω,R11,R0603,C2907035,1
47uF,C9,C1206,C5448950,1
SL2.1s,U1,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,C2684433,1
TYPE-C 16PIN 2MD(073),"USB0,USB3,USB4",USB-C-SMD_TYPE-C-16PIN-2MD-073,C2765186,3
USBLC6-2SC6,"D0,D1,D2,D3,D4",SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,C7519,5
XL-1608SURC-06,"LED1,LED2,LED3,LED4",LED0603-RD_RED,C965799,4
