Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,100nF,C0603,68.702695,30.18261,90.0,top
C11,100nF,C0603,54.167695,29.07061,0.0,top
C12,100nF,C0603,75.217695,43.75061,90.0,top
C13,100nF,C0603,76.759933,43.75061,90.0,top
C14,100nF,C0603,40.910195,30.07061,90.0,top
C15,100nF,C0603,42.307695,30.07061,90.0,top
C16,100nF,C0603,43.547695,35.40211,-90.0,top
C17,100nF,C0603,42.109695,35.40211,-90.0,top
C2,100nF,C0603,67.246524,35.012414,-90.0,top
C3,100nF,C0603,68.696524,35.012414,-90.0,top
C4,100nF,C0603,67.244695,30.18061,90.0,top
C5,100nF,C0603,51.898695,36.19261,180.0,top
C6,100nF,C0603,51.898695,37.79761,180.0,top
C7,100nF,C0603,54.723695,36.19261,0.0,top
C8,100nF,C0603,54.723695,37.797609,0.0,top
C9,47uF,C1206,78.667696,44.643112,90.0,top
D0,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,75.678696,33.57936,0.0,top
D1,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,37.607695,34.603359,180.0,top
D2,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,63.191024,34.565914,0.0,top
D3,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,63.191024,30.81011,0.0,top
D4,USBLC6-2SC6,SOT-23-6_L2.9-W1.6-P0.95-LS2.8-BL,37.607695,30.88161,180.0,top
F1,0805L050WR,R0805,46.137695,37.70061,0.0,top
F2,0805L050WR,R0805,71.614274,37.387414,0.0,top
F3,0805L050WR,R0805,71.449945,27.80061,180.0,top
F4,0805L050WR,R0805,44.784695,27.62761,180.0,top
LED1,XL-1608SURC-06,LED0603-RD_RED,45.779501,34.67475,0.0,top
LED2,XL-1608SURC-06,LED0603-RD_RED,71.197024,34.303414,0.0,top
LED3,XL-1608SURC-06,LED0603-RD_RED,44.533695,30.74311,0.0,top
LED4,XL-1608SURC-06,LED0603-RD_RED,71.032695,30.94761,0.0,top
R1,10K,R0603,81.797694,44.00411,90.0,top
R10,10K,R0603,71.040445,29.48261,180.0,top
R11,4.7Ω,R0603,54.221195,27.60961,180.0,top
R2,10K,R0603,83.207694,44.00411,90.0,top
R3,10K,R0603,29.797195,25.97061,180.0,top
R4,10K,R0603,44.375195,25.97061,0.0,top
R5,10K,R0603,71.15,26.16,0.0,top
R6,10K,R0603,56.407695,26.10061,180.0,top
R7,10K,R0603,45.786695,36.04861,0.0,top
R8,10K,R0603,71.204774,35.712414,0.0,top
R9,10K,R0603,44.538195,29.308055,180.0,top
U1,SL2.1s,SSOP-16_L4.6-W2.6-P0.53-LS4.0-BL,51.792665,32.73561,270.0,top
USB0,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,82.055694,34.848611,90.0,top
USB1,10.0 QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,37.342524,42.957914,180.0,top
USB2,10.0 QHHTZB6.3,USB-A-TH_10.0QHHTZB6.3,63.595524,42.957914,180.0,top
USB3,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,63.595524,25.098914,0.0,top
USB4,TYPE-C 16PIN 2MD(073),USB-C-SMD_TYPE-C-16PIN-2MD-073,37.342524,25.098914,0.0,top
